Week,Home,Away,Game,Winner,Loser,Score,Comments,Games List,The Rulebook
2,Kim & Ron,BFTs,Basketball,Kim & Ron,BFTs,178-167,,,
2,SOAs,2-10ers 1CP,Cup Pong,SOAs,2-10ers 1CP,13,,,
2,C & K,PTCs,Pool,PTCs,C & K,1,,,
2,NCHs,P^5,Cup Pong,P^5,NCHs,12,,,
2,P^5,SOAs,Cup Pong,P^5,SOAs,2,,,
2,BFTs,C & K,Pool,C & K,BFTs,12,,,
2,2-10ers 1CP,NCHs,Pool,2-10ers 1CP,NCHs,8,,,
2,PTCs,Kim & Ron,Knockout,PTCs,Kim & Ron,2-1,,,
Monday,,,,,,,,,
3,Kim & Ron,2-10ers 1CP,Basketball,Kim & Ron,2-10ers 1CP,175-142,,,
3,SOAs,PTCs,Anagrams,SOAs,PTCs,Not Scored,,,
3,C & K,P^5,Knockout,C & K,P^5,SD 1,,,
3,NCHs,BFTs,Basketball,NCHs,BFTs,175-155,,,
3,P^5,C & K,Cup Pong,C & K,P^5,8,,,
3,BFTs,NCHs,Golf,BFTs,NCHs,33-42,,,
3,2-10ers 1CP,Kim & Ron,Golf,Kim & Ron,2-10ers 1CP,32-33,,,
3,PTCs,SOAs,Darts,PTCs,SOAs,47,,,
Tuesday,,,,,,,,,
3,Kim & Ron,NCHs,Pool,NCHs,Kim & Ron,1,,,
3,SOAs,Kim & Ron,Archery,SOAs,Kim & Ron,Not Scored,,,
3,C & K,SOAs,Darts,C & K,SOAs,173,,,
3,NCHs,C & K,Darts,C & K,NCHs,28,,,
3,P^5,PTCs,Golf,PTCs,P^5,37-42,,,
3,BFTs,P^5,Darts,BFTs,P^5,4,,,
3,2-10ers 1CP,BFTs,Basketball,2-10ers 1CP,BFTs,168-156,,,
3,PTCs,2-10ers 1CP,Basketball,PTCs,2-10ers 1CP,163-152,,,
Wednesday,,,,,,,,,
3,Kim & Ron,PTCs,Cup Pong,Kim & Ron,PTCs,0.5,,,
3,SOAs,P^5,Golf,P^5,SOAs,35-35:43-47,,,
3,C & K,BFTs,Word Hunt,BFTs,C & K,23300-23200:21900-19500,,,
3,NCHs,2-10ers 1CP,Golf,2-10ers 1CP,NCHs,31-34,,,
3,P^5,Kim & Ron,Pool,P^5,Kim & Ron,2,,,
3,BFTs,SOAs,Knockout,BFTs,SOAs,3-0-1,,,
3,2-10ers 1CP,C & K,Archery,2-10ers 1CP,C & K,3-0,,,
3,PTCs,NCHs,Archery,PTCs,NCHs,3-0,,,
Thursday,,,,,,,,,
3,Kim & Ron,C & K,Darts,C & K,Kim & Ron,14,,,
3,SOAs,NCHs,Pool,NCHs,SOAs,3,,,
3,C & K,Kim & Ron,Basketball,Kim & Ron,C & K,182-178,,,
3,NCHs,SOAs,Basketball,NCHs,SOAs,165-144,,,
