Week,Home,Away,Game,Winner,Loser,Score,Comments,Games List,The Rulebook
Monday,,,,,,,,,(Red indicates game is played best 2 out of 3)
1,Ennis,Zach,Knockout,Ennis,Zach,1-0:1-0,,Pool,
1,Zach,Moshe,Word Hunt,Zach,Moshe,12000-6200:13200-8400,,Cup Pong,
1,Moshe,Goldstein,Darts,Goldstein,Moshe,28,,Archery,
1,Goldstein,Dani,Darts,Dani,Goldstein,14,,Anagrams,
1,Dani,Brick,Golf,Brick,Dani,14-16,,Darts,1 game starting from 301
1,Brick,Ennis,Basketball,Brick,Ennis,103-79,,Basketball,
1,Shmuli,Siegel,Basketball,Shmuli,Siegel,91-85,,Knockout,
1,Siegel,Ezra,Basketball,Siegel,Ezra,75-65,Great to be back,Word Hunt,
1,Ezra,Elie,Pool,Ezra,Elie,2,,,
1,Elie,Judah,Golf,Judah,Elie,14-15,,Golf,a single 5 hole game
1,Judah,Yitzie,Basketball,Judah,Yitzie,90-72,,The Rulebook,look at the rulebook for the comprehensive rules for each game
1,Yitzie,Shmuli,Archery,Yitzie,Shmuli,2-2:3-1:2-0,,,
Tuesday,,,,,,,,,
1,Ennis,Siegel,Pool,Siegel,Ennis,8-ball:4,,,
1,Zach,Ezra,Basketball,Zach,Ezra,84-67,,,
1,Moshe,Elie,Cup Pong,Moshe,Elie,9,😢,,
1,Goldstein,Judah,Golf,Judah,Goldstein,24-18,,,
1,Dani,Yitzie,Golf,Dani,Yitzie,17-18,,,
1,Brick,Shmuli,Pool,Shmuli,Brick,8-ball:5,,,
1,Shmuli,Moshe,Basketball,Shmuli,Moshe,89-78,,,
1,Siegel,Goldstein,Archery,Siegel,Goldstein,2-0:2-0,,,
1,Ezra,Dani,Anagrams,Ezra,Dani,11800-7300:14900-8000,,,
1,Elie,Brick,Cup Pong,Brick,Elie,9,😢😢,,
1,Judah,Ennis,Pool,Judah,Ennis,1,,,
1,Yitzie,Zach,Archery,Yitzie,Zach,3-3:3-2:2-0,,,
Wednesday,,,,,,,,,
1,Ennis,Goldstein,Knockout,Ennis,Goldstein,1-0:3-0,,,
1,Zach,Dani,Knockout,Zach,Dani,3-0:4-0,,,
1,Moshe,Brick,Pool,Brick,Moshe,1,,,
1,Goldstein,Ennis,Golf,Goldstein,Ennis,15-19,,,
1,Dani,Zach,Archery,Zach,Dani,N/A,,,
1,Brick,Moshe,Word Hunt,Brick,Moshe,8200-6000:3900-3200,,,
1,Shmuli,Elie,Word Hunt,Shmuli,Elie,7100-7100:16000-12800:8100-7800,,,
1,Siegel,Judah,Anagrams,Siegel,Judah,2900-1100:4100-6400:10300-4600,,,
1,Ezra,Yitzie,Anagrams,Yitzie,Ezra,17000-12900:13800-9500,,,
1,Elie,Shmuli,Darts,Shmuli,Elie,88,,,
1,Judah,Siegel,Basketball,Judah,Siegel,91-80,,,
1,Yitzie,Ezra,Golf,Yitzie,Ezra,15-24,,,
Thursday,,,,,,,,,
1,Ennis,Moshe,Darts,Ennis,Moshe,16,,,
1,Zach,Goldstein,Word Hunt,Zach,Goldstein,17800-8700:11000-5900,,,
1,Moshe,Dani,Basketball,Moshe,Dani,70-63,,,
1,Goldstein,Brick,Anagrams,Brick,Goldstein,6200-4000:6600-5500,,,
1,Dani,Ennis,Pool,Ennis,Dani,2,,,
1,Brick,Zach,Cup Pong,Brick,Zach,7,,,
1,Shmuli,Ezra,Darts,Shmuli,Ezra,71,,,
1,Siegel,Elie,Cup Pong,Siegel,Elie,1 OT 1,,,
1,Ezra,Judah,Cup Pong,Judah,Ezra,2,,,
1,Elie,Yitzie,Knockout,Yitzie,Elie,0-0:1-0:0-0,,,
1,Judah,Shmuli,Archery,Judah,Shmuli,88-87:88-86,,,
1,Yitzie,Siegel,Darts,Yitzie,Siegel,1 OT 74,,,
Friday,,,,,,,,,
